,PP-runtime,PP-maxflow
1,0.016000032424926758,8.0
11,0.05200457572937012,71.0
21,0.08899712562561035,131.0
31,0.1289997100830078,173.0
41,0.1919999122619629,274.0
51,0.27199888229370117,310.0
61,0.015000104904174805,300.0
71,0.016000747680664062,269.0
81,0.01099848747253418,234.0
91,0.02099895477294922,306.0
101,0.01399993896484375,260.0
