,PP-runtime,PP-maxflow
1,0.0,10.0
11,0.0010046958923339844,69.0
21,0.0019996166229248047,116.0
31,0.005004405975341797,151.0
41,0.008004188537597656,243.0
51,0.012999534606933594,257.0
61,0.34799885749816895,303.0
71,0.4280056953430176,269.0
81,0.5469446182250977,308.0
91,0.7059986591339111,271.0
101,0.829998254776001,250.0
