,PP-runtime,PP-maxflow
1,0.0,1.0
2,0.0,1.0
3,0.0,5.0
4,0.0,6.0
5,0.0009348392486572266,8.0
6,0.0,25.0
7,0.0,28.0
8,0.0,47.0
9,0.0019881725311279297,71.0
10,0.001001119613647461,67.0
11,0.0029997825622558594,87.0
12,0.003999471664428711,114.0
13,0.0009996891021728516,88.0
14,0.004999399185180664,172.0
15,0.008000850677490234,195.0
16,0.0030002593994140625,194.0
17,0.003015279769897461,315.0
18,0.0009987354278564453,360.0
19,0.017001867294311523,336.0
20,0.0019996166229248047,369.0
21,0.003010988235473633,482.0
22,0.029004812240600586,463.0
23,0.0030007362365722656,612.0
24,0.00599217414855957,601.0
25,0.003000020980834961,604.0
26,0.0039997100830078125,733.0
27,0.04403567314147949,653.0
28,0.04799771308898926,724.0
29,0.04999995231628418,820.0
30,0.05701899528503418,832.0
31,0.003996849060058594,913.0
32,0.07297134399414062,1043.0
33,0.004998445510864258,1016.0
34,0.006001472473144531,1163.0
35,0.007000923156738281,1196.0
36,0.0069997310638427734,1257.0
37,0.0039997100830078125,1143.0
38,0.007992267608642578,1558.0
39,0.1119997501373291,1444.0
40,0.00599980354309082,1409.0
41,0.13707661628723145,1667.0
42,0.010004758834838867,1752.0
43,0.009956836700439453,1806.0
44,0.009991168975830078,1969.0
45,0.00895380973815918,1813.0
46,0.01092219352722168,1936.0
47,0.012980222702026367,2182.0
48,0.2100372314453125,2004.0
49,0.22603487968444824,2198.0
50,0.015997886657714844,2438.0
51,0.24993538856506348,2497.0
52,0.26299595832824707,2686.0
53,0.015000581741333008,2571.0
54,0.012000083923339844,2306.0
55,0.29800844192504883,2869.0
56,0.31199145317077637,2842.0
57,0.018990516662597656,3174.0
58,0.022993087768554688,3275.0
59,0.019000768661499023,3056.0
60,0.02400994300842285,3409.0
61,0.025023698806762695,3815.0
62,0.022965192794799805,3789.0
63,0.45999908447265625,3807.0
64,0.4820709228515625,3807.0
65,0.5034050941467285,4082.0
66,0.02398538589477539,3782.0
67,0.5479905605316162,4278.0
68,0.5400493144989014,4529.0
69,0.023981809616088867,4727.0
70,0.7081131935119629,4931.0
71,0.6500239372253418,4773.0
72,0.7119669914245605,4968.0
73,0.03499269485473633,5224.0
74,0.034036874771118164,5616.0
75,0.8269765377044678,5362.0
76,0.8230063915252686,5576.0
77,0.8139903545379639,5818.0
78,0.8689815998077393,6163.0
79,1.0327959060668945,6283.0
80,0.9710748195648193,6188.0
81,0.04409527778625488,6759.0
82,0.03794693946838379,6673.0
83,1.1560792922973633,6216.0
84,0.04692435264587402,6783.0
85,0.04599952697753906,6607.0
86,1.1386926174163818,7027.0
87,0.04800009727478027,6660.0
88,0.04499959945678711,6914.0
89,1.364945411682129,8173.0
90,1.3859834671020508,8020.0
91,0.05403733253479004,8390.0
92,0.0894618034362793,8179.0
93,1.5669562816619873,9013.0
94,1.6330070495605469,7514.0
95,1.6129918098449707,9065.0
96,0.08300018310546875,8951.0
97,1.693070650100708,8052.0
98,0.06898713111877441,9002.0
99,1.7530584335327148,9264.0
100,1.6949975490570068,9857.0
