,Filename,FF-runtime,FF-maxflow
0,10x20-c100.txt,1.4395089149475098,299
1,10x20-c1000.txt,3.087843894958496,3045
2,10x20-c2500.txt,3.7081453800201416,7971
3,10x20-c500.txt,1.5832579135894775,1045
