,SFF-runtime,SFF-maxflow
1,0.0,10.0
11,0.0,69.0
21,0.0010030269622802734,116.0
31,0.000997781753540039,151.0
41,0.0020034313201904297,243.0
51,0.003956794738769531,257.0
61,0.005994081497192383,303.0
71,0.005992412567138672,269.0
81,0.005001068115234375,308.0
91,0.006955623626708984,271.0
101,0.00499415397644043,250.0
