,FF-runtime,FF-maxflow
1,0.0,8.0
101,0.8470816612243652,260.0
11,0.008999347686767578,71.0
21,0.04599952697753906,131.0
31,0.12810492515563965,173.0
41,0.3804311752319336,274.0
51,0.5749993324279785,310.0
61,0.6559984683990479,300.0
71,0.7473413944244385,269.0
81,0.5800037384033203,234.0
91,1.0560028553009033,306.0
